Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"journals/tvcg/RahimiBLE22"	"New Media and Space: An Empirical Study of Learning and Enjoyment Through Museum Hybrid Space."	"2022"	"IEEE Trans. Vis. Comput. Graph."	"28"	"8"	"https://doi.org/10.1109/TVCG.2020.3043324"	"Farzan Baradaran Rahimi;Jeffrey E. Boyd;Richard M. Levy;Jennifer R. Eiserman"
"journals/tvcg/RahimianK17"	"Optimal Camera Placement for Motion Capture Systems."	"2017"	"IEEE Trans. Vis. Comput. Graph."	"23"	"3"	"https://doi.org/10.1109/TVCG.2016.2637334"	"Pooya Rahimian;Joe K. Kearney"
"journals/tvcg/RaidouEBEV16"	"Orientation-Enhanced Parallel Coordinate Plots."	"2016"	"IEEE Trans. Vis. Comput. Graph."	"22"	"1"	"https://doi.org/10.1109/TVCG.2015.2467872"	"Renata G. Raidou;Martin Eisemann;Marcel Breeuwer;Elmar Eisemann;Anna Vilanova"
"journals/tvcg/RaidouGE19"	"Relaxing Dense Scatter Plots with Pixel-Based Mappings."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"6"	"https://doi.org/10.1109/TVCG.2019.2903956"	"Renata G. Raidou;M. Eduard Gröller;Martin Eisemann"
"journals/tvcg/RaijJDLCDPSWL07"	"Comparing Interpersonal Interactions with a Virtual Human to Those with a Real Human."	"2007"	"IEEE Trans. Vis. Comput. Graph."	"13"	"3"	"https://doi.org/10.1109/TVCG.2007.1030"	"Andrew Raij;Kyle Johnsen;Robert F. Dickerson;Benjamin Lok;Marc S. Cohen;Margaret Duerson;Rebecca Rainer Pauly;Amy O. Stevens;Peggy Wagner;D. Scott Lind"
"journals/tvcg/RaithBNPKGSS19"	"Tensor Field Visualization using Fiber Surfaces of Invariant Space."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"1"	"https://doi.org/10.1109/TVCG.2018.2864846"	"Felix Raith;Christian Blecha;Thomas Nagel;Francesco Parisio;Olaf Kolditz;Fabian Günther;Markus Stommel;Gerik Scheuermann"
"journals/tvcg/RajamakiH19"	"Continuous Control Monte Carlo Tree Search Informed by Multiple Experts."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"8"	"https://doi.org/10.1109/TVCG.2018.2849386"	"Joose Rajamäki;Perttu Hämäläinen"
"journals/tvcg/RajiDHH21"	"Dataless Sharing of Interactive Visualization."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"9"	"https://doi.org/10.1109/TVCG.2020.2984708"	"Mohammad Raji;Jeremiah Duncan;Tanner Hobson;Jian Huang 0007"
"journals/tvcg/RajiHHH20"	"Scientific Visualization as a Microservice."	"2020"	"IEEE Trans. Vis. Comput. Graph."	"26"	"4"	"https://doi.org/10.1109/TVCG.2018.2879672"	"Mohammad Raji;Alok Hota;Tanner Hobson;Jian Huang 0007"
"journals/tvcg/RakotondravonyD23"	"? A Cross-Language Study of How People Verbalize Probabilities in Icon Array Visualizations."	"2023"	"IEEE Trans. Vis. Comput. Graph."	"29"	"1"	"https://doi.org/10.1109/TVCG.2022.3209367"	"Noëlle Rakotondravony;Yiren Ding;Lane Harrison"
