vispub_doi,aminer_id,method
10.1109/tvcg.2020.3030343,5f58ad2291e011e46ee73390,doi
10.1109/vast.2007.4388991,5390a45620f70186a0e733cf,doi
10.1109/tvcg.2012.200,53e9ae22b7602d9703835712,doi
10.1109/tvcg.2020.3028955,5f75bbe691e0111c1eb4d535,doi
10.1109/tvcg.2011.239,5390b20120f70186a0ee505e,doi
10.1109/tvcg.2017.2745178,59ae0cda0cf284510fa8b3f8,doi
10.1109/tvcg.2020.3030415,5eb3dc4191e011ce31f27f60,doi
10.1109/tvcg.2020.3030350,5f75b61791e0111c1eb4d497,doi
10.1109/visual.2002.1183783,539089ab20f70186a0d96b49,doi
10.1109/vast.2012.6400490,5390bae520f70186a0f3b1a2,doi
10.1109/tvcg.2017.2744138,59ae0cda0cf284510fa8b42b,doi
10.1109/infvis.2005.1532147,5390990f20f70186a0e1003f,doi
10.1109/vast.2011.6102456,53e9bc73b7602d97048efa09,doi
10.1109/tvcg.2018.2865119,5c0f890cda562944ac9859e6,doi
10.1109/visual.1998.745352,539087eb20f70186a0d6c117,doi
10.1109/tvcg.2011.211,5390b20120f70186a0ee5035,doi
10.1109/vast.2012.6400556,5390bae520f70186a0f3b1cb,doi
10.1109/tvcg.2008.171,5390a28020f70186a0e62bb3,doi
10.1109/tvcg.2022.3209360,61ef6aea5244ab9dcb688bb2,doi
10.1109/tvcg.2024.3456398,6698789301d2a3fbfc542e25,doi
10.1109/tvcg.2019.2934805,5d63ae47ed7e9c7926557dcd,doi
10.1109/visual.2002.1183812,539089ab20f70186a0d96b66,doi
10.1109/visual.2004.14,5390979920f70186a0e00579,doi
10.1109/tvcg.2008.123,5390a28020f70186a0e62b9c,doi
10.1109/tvcg.2020.3028957,5f574de591e011f4c3d5da3a,doi
10.1109/infvis.1996.559221,53908cde20f70186a0dcd862,doi
10.1109/visual.2004.80,5390979920f70186a0e00534,doi
10.1109/infvis.2004.74,5390979920f70186a0e010e4,doi
10.1109/tvcg.2007.70566,53909f8c20f70186a0e3f7a9,doi
10.1109/vast.2007.4388996,5390a45620f70186a0e733d4,doi
10.1109/tvcg.2009.128,5390a6d920f70186a0e87db9,doi
10.1109/vast.2008.4677391,53e99ec3b7602d970278a9b6,doi
10.1109/vast.2010.5652931,53e9b87fb7602d970444d81b,doi
10.1109/tvcg.2015.2467619,5687e53c0cf2afdcd165fe93,doi
10.1109/tvcg.2022.3209348,63357b8490e50fcafd1c2c76,doi
10.1109/visual.2004.108,5390979920f70186a0e00588,doi
10.1109/visual.2003.1250376,539098b820f70186a0e0a6d4,doi
10.1109/vast.2008.4677373,53e9a02db7602d97029101f6,doi
10.1109/visual.1999.809940,53e9ae3cb7602d9703851a19,doi
10.1109/tvcg.2018.2865237,5c0f890cda562944ac9859f9,doi
10.1109/tvcg.2011.214,5390b20120f70186a0ee5036,doi
10.1109/tvcg.2013.150,5390be6620f70186a0f4bbde,doi
10.1109/tvcg.2018.2864812,5b67b4b417c44aac1c86719f,doi
10.1109/tvcg.2019.2934797,5d63ae47ed7e9c7926557dc7,doi
10.1109/tvcg.2022.3209484,62f4739390e50fcafdfecaa6,doi
10.1109/tvcg.2022.3209485,62fdae2c90e50fcafdd601f1,doi
10.1109/tvcg.2024.3456406,66a5c32a01d2a3fbfcf7cdd5,doi
10.1109/visual.1993.398882,53908f5b20f70186a0ddaa11,doi
10.1109/tvcg.2017.2744321,59ae0cda0cf284510fa8b41d,doi
10.1109/tvcg.2022.3209498,632bd2a990e50fcafdb7a0fb,doi
10.1109/tvcg.2009.155,5390a6d920f70186a0e87d98,doi
10.1109/tvcg.2019.2934275,5d4018463a55ac91db22aeab,doi
10.1109/visual.1993.398857,5390958a20f70186a0def76f,doi
10.1109/visual.2003.1250352,539098b820f70186a0e0a6bc,doi
10.1109/tvcg.2017.2744322,59ae0cda0cf284510fa8b41c,doi
10.1109/tvcg.2019.2934209,5d0a0e7f3a55ac03d0ed9b17,doi
10.1109/visual.1998.745317,539087eb20f70186a0d6c0d6,doi
10.1109/infvis.2002.1173152,53908cde20f70186a0dcd8db,doi
10.1109/tvcg.2015.2467813,563b69d10cf20b987890bc9f,doi
10.1109/tvcg.2016.2598470,58437713ac44360f1082cbbf,doi
10.1109/tvcg.2006.134,53909a9320f70186a0e21a98,doi
10.1109/tvcg.2012.219,53e9a711b7602d9703048203,doi
10.1109/tvcg.2006.120,53909a9320f70186a0e21aca,doi
10.1109/tvcg.2013.131,5390be6620f70186a0f4bbab,doi
10.1109/vast.2011.6102478,53e9abc9b7602d970357da0a,doi
10.1109/tvcg.2016.2598919,58437713ac44360f1082cbf9,doi
10.1109/tvcg.2023.3327403,64dafb293fda6d7f064e2d79,doi
10.1109/visual.2004.105,5390979920f70186a0e0054b,doi
10.1109/tvcg.2012.278,558b656784ae84d265c32453,doi
10.1109/tvcg.2020.3028888,5f61de9e91e011fae8fd6a21,doi
10.1109/tvcg.2023.3327194,64d1bde83fda6d7f06ec39e2,doi
10.1109/tvcg.2010.166,5390ada620f70186a0ec247d,doi
10.1109/tvcg.2013.226,5390be6620f70186a0f4bba7,doi
10.1109/tvcg.2019.2934262,5d4409be3a55acdd764723e7,doi
10.1109/tvcg.2022.3209455,6764e47eae8580e7ffbee197,doi
10.1109/tvcg.2009.170,5390a6d920f70186a0e87daa,doi
10.1109/vast.2015.7347686,573697316e3b12023e62167e,doi
10.1109/tvcg.2008.137,5390a28020f70186a0e62baa,doi
