doi,author,gender,position,position.rank
10.1109/INFVIS.2000.885098,Lucy T. Nowell,female,3,L
10.1109/INFVIS.2000.885099,Anton Leuski,male,1,F
10.1109/INFVIS.2000.885099,James Allan,male,2,L
10.1109/INFVIS.2000.885101,Thomas J. Overbye,male,1,F
10.1109/INFVIS.2000.885101,Jamie D. Weber,male,2,L
10.1109/INFVIS.2000.885102,Isaac Brewer,male,1,F
10.1109/INFVIS.2000.885102,Alan M. MacEachren,male,2,M
10.1109/INFVIS.2000.885102,Hadi Abdo,male,3,M
10.1109/INFVIS.2000.885102,Jack Gundrum,male,4,M
10.1109/INFVIS.2000.885102,George Otto,male,5,L
10.1109/INFVIS.2000.885103,Pearl Pu,female,1,F
10.1109/INFVIS.2000.885103,Denis Lalanne,male,2,L
10.1109/INFVIS.2000.885104,Cristina Russo Dos Santos,female,1,F
10.1109/INFVIS.2000.885104,Pascal Gros,male,2,M
10.1109/INFVIS.2000.885104,Pierre Abel,male,3,M
10.1109/INFVIS.2000.885104,Didier Loisel,male,4,M
10.1109/INFVIS.2000.885104,N. Trichaud,male,5,M
10.1109/INFVIS.2000.885104,J. P. Paris,male,6,L
10.1109/INFVIS.2000.885105,Monika Büscher,female,1,F
10.1109/INFVIS.2000.885105,Dan Shapiro,male,2,M
10.1109/INFVIS.2000.885105,Michael Christensen,male,3,M
10.1109/INFVIS.2000.885105,Preben Holst Mogensen,male,4,M
10.1109/INFVIS.2000.885105,Peter Ørbæk,male,5,L
10.1109/INFVIS.2001.963272,Pat Hanrahan,male,1,F
10.1109/INFVIS.2001.963273,Marc Weber,male,1,F
10.1109/INFVIS.2001.963273,Marc Alexa,male,2,M
10.1109/INFVIS.2001.963273,Wolfgang Müller 0004,male,3,L
10.1109/INFVIS.2001.963274,Lucy T. Nowell,female,1,F
10.1109/INFVIS.2001.963274,Elizabeth G. Hetzler,female,2,M
10.1109/INFVIS.2001.963274,Ted Tanasse,male,3,L
10.1109/INFVIS.2001.963275,George S. Davidson,male,1,F
10.1109/INFVIS.2001.963275,Brian N. Wylie,male,2,M
10.1109/INFVIS.2001.963275,Kevin W. Boyack,male,3,L
10.1109/INFVIS.2001.963277,James R. Eagan,male,1,F
10.1109/INFVIS.2001.963277,Mary Jean Harrold,female,2,M
10.1109/INFVIS.2001.963277,James A. Jones,male,3,M
10.1109/INFVIS.2001.963277,John T. Stasko,male,4,L
10.1109/INFVIS.2001.963278,Alan Keahey,male,1,F
10.1109/INFVIS.2001.963279,Ka-Ping Yee,male,1,F
10.1109/INFVIS.2001.963279,Danyel Fisher,male,2,M
10.1109/INFVIS.2001.963279,Rachna Dhamija,female,3,M
10.1109/INFVIS.2001.963279,Marti A. Hearst,female,4,L
10.1109/INFVIS.2001.963280,Janet M. Six,female,1,F
10.1109/INFVIS.2001.963280,Ioannis G. Tollis,male,2,L
10.1109/INFVIS.2001.963281,Frank van Ham,male,1,F
10.1109/INFVIS.2001.963281,Huub van de Wetering,male,2,M
10.1109/INFVIS.2001.963281,Jarke J. van Wijk,male,3,L
10.1109/INFVIS.2001.963282,James Abello,male,1,F
10.1109/INFVIS.2001.963282,Irene Finocchi,female,2,M
10.1109/INFVIS.2001.963282,Jeffrey L. Korn,male,3,L
10.1109/INFVIS.2001.963283,Ben Shneiderman,male,1,F
10.1109/INFVIS.2001.963283,Martin Wattenberg,male,2,L
10.1109/INFVIS.2001.963284,Raimund Dachselt,male,1,F
10.1109/INFVIS.2001.963284,Jürgen Ebert,male,2,L
10.1109/INFVIS.2001.963285,Ernst Kleiberg,male,1,F
10.1109/INFVIS.2001.963285,Huub van de Wetering,male,2,M
10.1109/INFVIS.2001.963285,Jarke J. van Wijk,male,3,L
10.1109/INFVIS.2001.963286,Robert Kosara,male,1,F
10.1109/INFVIS.2001.963286,Silvia Miksch,female,2,M
10.1109/INFVIS.2001.963286,Helwig Hauser,male,3,L
