,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
1928,10.1109/TVCG.2009.150,Daniel Weiskopf,2,M,"VISUS (Visualization Research Center, Universität Stuttgart, Germany","University of Stuttgart, Germany",Germany
1929,10.1109/TVCG.2009.150,Torsten Möller,3,L,"GrUVi (Graphics, Usability and Viswalization Lab), Simon Fraser University, Burnaby, Canada","Simon Fraser University, Canada",Canada
1930,10.1109/TVCG.2009.151,Michael J. McGuffin,1,F,"École de technologie supérieure, Montreal, Canada","ÉTS Montréal, Canada",Canada
1931,10.1109/TVCG.2009.151,Igor Jurisica,2,L,"PMH/UHN, Ontario Cancer Institute, Toronto, Canada","Ontario Cancer Institute, Canada",Canada
1932,10.1109/TVCG.2009.152,Daniel F. Keefe,1,F,"Department of Computer Science and Engineering, University of Minnesota, USA","University of Minnesota, USA",USA
1933,10.1109/TVCG.2009.152,Marcus Ewert,2,M,"Department of Computer Science and Engineering, University of Minnesota, USA","University of Minnesota, USA",USA
1934,10.1109/TVCG.2009.152,William Ribarsky,3,M,"The Charlotte Visualization Center, UNC-Charlotte, USA","University of North Carolina, Charlotte, USA",USA
1935,10.1109/TVCG.2009.152,Remco Chang,4,L,"The Charlotte Visualization Center, UNC-Charlotte, USA","University of North Carolina, Charlotte, USA",USA
1936,10.1109/TVCG.2009.153,Sara Johansson 0001,1,F,"Norrköping Visualization and Interaction Studio (NVIS), Linköping University, Sweden",,
1937,10.1109/TVCG.2009.153,Jimmy Johansson 0001,2,L,"Norrköping Visualization and Interaction Studio (NVIS), Linköping University, Sweden",,
1938,10.1109/TVCG.2009.154,Kai Bürger,1,F,Technische Universität München,"Technical University Munich, Germany",Germany
1939,10.1109/TVCG.2009.154,Florian Ferstl,2,M,"Visual Computing Group, University of Magdeburg, Germany","Technical University Munich, Germany",Germany
1940,10.1109/TVCG.2009.154,Holger Theisel,3,M,"Visual Computing Group, University of Magdeburg, Germany","University of Magdeburg, Germany",Germany
1941,10.1109/TVCG.2009.154,Rüdiger Westermann,4,L,"Computer Graphics & Visualization Group, Technische Universität München, Germany","Technical University Munich, Germany",Germany
1942,10.1109/TVCG.2009.155,Kresimir Matkovic,1,F,"VRVis Research Center Vienna, Austria","VRVis Research Center, Austria",Austria
1943,10.1109/TVCG.2009.155,Denis Gracanin,2,M,"Virginia Technology, USA","Virginia Tech, USA",USA
1944,10.1109/TVCG.2009.155,Borislav Klarin,3,M,"AVL AST, Zagreb, Croatia","AVL-AST Zagreb, Croatia",Croatia
1945,10.1109/TVCG.2009.155,Helwig Hauser,4,L,"University of Bergen, Norway","University of Bergen, Norway",Norway
1946,10.1109/TVCG.2009.156,Yingcai Wu,1,F,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
1947,10.1109/TVCG.2009.156,Ka-Kei Chung,2,M,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
1948,10.1109/TVCG.2009.156,Huamin Qu,3,M,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
1949,10.1109/TVCG.2009.156,Xiaoru Yuan,4,M,"Key Laboratory of Machine Perception (Ministry of Education) and School of EECS, Peking University, Beijing, China","Peking University, China",China
1950,10.1109/TVCG.2009.156,Shing-Chi Cheung,5,L,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
1951,10.1109/TVCG.2009.157,Michael Krone,1,F,"Visualization Research Center VISUS, Universität Stuttgart, Germany","University of Stuttgart, Germany",Germany
1952,10.1109/TVCG.2009.157,Katrin Bidmon,2,M,"Visualization Research Center VISUS, Universität Stuttgart, Germany","University of Stuttgart, Germany",Germany
1953,10.1109/TVCG.2009.157,Thomas Ertl,3,L,"Visualization Research Center VISUS, Universität Stuttgart, Germany","University of Stuttgart, Germany",Germany
1954,10.1109/TVCG.2009.158,Yun Jang,1,F,"ETH Zürich, Switzerland","ETH Zurich, Switzerland",Switzerland
1955,10.1109/TVCG.2009.158,Ugo Varetto,2,L,"Swiss National Supercomputing Centre, Switzerland","Swiss National Supercomputing Centre, Switzerland",Switzerland
1956,10.1109/TVCG.2009.159,Guangyu Zou,1,F,"Wayne State University, USA","Wayne State University, USA",USA
1957,10.1109/TVCG.2009.159,Jing Hua 0001,2,M,"Wayne State University, USA",,
1958,10.1109/TVCG.2009.159,Zhaoqiang Lai,3,M,"Wayne State University, USA","Wayne State University, USA",USA
1959,10.1109/TVCG.2009.159,Xianfeng Gu,4,M,"Stony Brook University, USA","Stony Brook University, USA",USA
