Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation
10.1109/tvcg.2024.3456401,Filip Opálený,1,F,"Department of Visual Computing, Faculty of Informatics, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Pavol Ulbrich,2,M,"Department of Visual Computing, Faculty of Informatics, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Joan Planas-Iglesias,3,M,"Department of Experimental Biology and RECETOX, Loschmidt Laboratories, Faculty of Science, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Jan Byska,4,M,"Department of Visual Computing, Faculty of Informatics, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Jan Stourac,5,M,"Department of Experimental Biology and RECETOX, Loschmidt Laboratories, Faculty of Science, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,David Bednár,6,M,"Department of Experimental Biology and RECETOX, Loschmidt Laboratories, Faculty of Science, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Katarína Furmanová,7,M,"Department of Visual Computing, Faculty of Informatics, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,Barbora Kozlíková,8,M,"Department of Visual Computing, Faculty of Informatics, Masaryk University, Brno, Czech Republic"
10.1109/tvcg.2024.3456401,,9,M,
10.1109/tvcg.2024.3456401,,10,M,
10.1109/tvcg.2024.3456401,,11,M,
10.1109/tvcg.2024.3456401,,12,M,
10.1109/tvcg.2024.3456401,,13,M,
10.1109/tvcg.2024.3456401,,14,M,
10.1109/tvcg.2024.3456401,,15,M,
10.1109/tvcg.2024.3456401,,16,M,
10.1109/tvcg.2024.3456401,,17,M,
10.1109/tvcg.2024.3456401,,18,M,
10.1109/tvcg.2024.3456401,,19,M,
10.1109/tvcg.2024.3456401,,20,M,
10.1109/tvcg.2024.3456401,,21,L,
10.1109/tvcg.2024.3456399,Shaozhang Dai,1,F,"Monash University, Australia"
10.1109/tvcg.2024.3456399,Yi Li 0058,2,M,"Monash University, Australia"
10.1109/tvcg.2024.3456399,Barrett Ens,3,M,"The Univeristu of British Columbia, Canada"
10.1109/tvcg.2024.3456399,Lonni Besançon,4,M,"Linköping University, Sweden"
10.1109/tvcg.2024.3456399,Tim Dwyer,5,M,"Monash University, Australia"
10.1109/tvcg.2024.3456399,,6,M,
10.1109/tvcg.2024.3456399,,7,M,
10.1109/tvcg.2024.3456399,,8,M,
10.1109/tvcg.2024.3456399,,9,M,
10.1109/tvcg.2024.3456399,,10,M,
10.1109/tvcg.2024.3456399,,11,M,
10.1109/tvcg.2024.3456399,,12,M,
10.1109/tvcg.2024.3456399,,13,M,
10.1109/tvcg.2024.3456399,,14,M,
10.1109/tvcg.2024.3456399,,15,M,
10.1109/tvcg.2024.3456399,,16,M,
10.1109/tvcg.2024.3456399,,17,M,
10.1109/tvcg.2024.3456399,,18,M,
10.1109/tvcg.2024.3456399,,19,M,
10.1109/tvcg.2024.3456399,,20,M,
10.1109/tvcg.2024.3456399,,21,L,
10.1109/tvcg.2024.3456396,Racquel Fygenson,1,F,"Northeastern University, USA"
10.1109/tvcg.2024.3456396,Lace M. K. Padilla,2,M,"Northeastern University, USA"
10.1109/tvcg.2024.3456396,,3,M,
10.1109/tvcg.2024.3456396,,4,M,
10.1109/tvcg.2024.3456396,,5,M,
10.1109/tvcg.2024.3456396,,6,M,
10.1109/tvcg.2024.3456396,,7,M,
10.1109/tvcg.2024.3456396,,8,M,
10.1109/tvcg.2024.3456396,,9,M,
10.1109/tvcg.2024.3456396,,10,M,
10.1109/tvcg.2024.3456396,,11,M,
10.1109/tvcg.2024.3456396,,12,M,
10.1109/tvcg.2024.3456396,,13,M,
10.1109/tvcg.2024.3456396,,14,M,
10.1109/tvcg.2024.3456396,,15,M,
10.1109/tvcg.2024.3456396,,16,M,
10.1109/tvcg.2024.3456396,,17,M,
10.1109/tvcg.2024.3456396,,18,M,
10.1109/tvcg.2024.3456396,,19,M,
10.1109/tvcg.2024.3456396,,20,M,
10.1109/tvcg.2024.3456396,,21,L,
10.1109/tvcg.2024.3456395,Yu Qin,1,F,"Tulane University, USA"
10.1109/tvcg.2024.3456395,Brittany Terese Fasy,2,M,"Montana State University, USA"
10.1109/tvcg.2024.3456395,Carola Wenk,3,M,"Tulane University, USA"
10.1109/tvcg.2024.3456395,Brian Summa,4,M,"Tulane University, USA"
10.1109/tvcg.2024.3456395,,5,M,
10.1109/tvcg.2024.3456395,,6,M,
10.1109/tvcg.2024.3456395,,7,M,
10.1109/tvcg.2024.3456395,,8,M,
10.1109/tvcg.2024.3456395,,9,M,
10.1109/tvcg.2024.3456395,,10,M,
10.1109/tvcg.2024.3456395,,11,M,
10.1109/tvcg.2024.3456395,,12,M,
10.1109/tvcg.2024.3456395,,13,M,
10.1109/tvcg.2024.3456395,,14,M,
10.1109/tvcg.2024.3456395,,15,M,
10.1109/tvcg.2024.3456395,,16,M,
10.1109/tvcg.2024.3456395,,17,M,
10.1109/tvcg.2024.3456395,,18,M,
10.1109/tvcg.2024.3456395,,19,M,
10.1109/tvcg.2024.3456395,,20,M,
10.1109/tvcg.2024.3456395,,21,L,
10.1109/tvcg.2024.3456394,Marina Evers,1,F,"University of Münster, Germany"
10.1109/tvcg.2024.3456394,Lars Linsen,2,M,"University of Münster, Germany"
10.1109/tvcg.2024.3456394,,3,M,
10.1109/tvcg.2024.3456394,,4,M,
10.1109/tvcg.2024.3456394,,5,M,
10.1109/tvcg.2024.3456394,,6,M,
10.1109/tvcg.2024.3456394,,7,M,
10.1109/tvcg.2024.3456394,,8,M,
10.1109/tvcg.2024.3456394,,9,M,
10.1109/tvcg.2024.3456394,,10,M,
10.1109/tvcg.2024.3456394,,11,M,
10.1109/tvcg.2024.3456394,,12,M,
10.1109/tvcg.2024.3456394,,13,M,
10.1109/tvcg.2024.3456394,,14,M,
10.1109/tvcg.2024.3456394,,15,M,
10.1109/tvcg.2024.3456394,,16,M,
10.1109/tvcg.2024.3456394,,17,M,
10.1109/tvcg.2024.3456394,,18,M,
10.1109/tvcg.2024.3456394,,19,M,
10.1109/tvcg.2024.3456394,,20,M,
10.1109/tvcg.2024.3456394,,21,L,
10.1109/tvcg.2024.3456393,Tushar M. Athawale,1,F,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,Zhe Wang 0059,2,M,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,David Pugmire,3,M,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,Kenneth Moreland,4,M,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,Qian Gong,5,M,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,Scott Klasky,6,M,"Oak Ridge National Laboratory, USA"
10.1109/tvcg.2024.3456393,Chris R. Johnson 0001,7,M,"University of Utah, USA"
10.1109/tvcg.2024.3456393,Paul Rosen 0001,8,M,"University of Utah, USA"
10.1109/tvcg.2024.3456393,,9,M,
10.1109/tvcg.2024.3456393,,10,M,
10.1109/tvcg.2024.3456393,,11,M,
10.1109/tvcg.2024.3456393,,12,M,
10.1109/tvcg.2024.3456393,,13,M,
10.1109/tvcg.2024.3456393,,14,M,
10.1109/tvcg.2024.3456393,,15,M,
10.1109/tvcg.2024.3456393,,16,M,
10.1109/tvcg.2024.3456393,,17,M,
10.1109/tvcg.2024.3456393,,18,M,
10.1109/tvcg.2024.3456393,,19,M,
10.1109/tvcg.2024.3456393,,20,M,
10.1109/tvcg.2024.3456393,,21,L,
10.1109/tvcg.2024.3456392,Yutian Zhang,1,F,"Sun Yat-sen University, China"
10.1109/tvcg.2024.3456392,Liwen Xu,2,M,"Sun Yat-sen University, China"
10.1109/tvcg.2024.3456392,Shaocong Tao,3,M,"Sun Yat-sen University, China"
10.1109/tvcg.2024.3456392,Quanxue Guan,4,M,"Sun Yat-sen University, China"
10.1109/tvcg.2024.3456392,Quan Li 0002,5,M,"School of Information Science and Technology, ShanghaiTech University, China"
10.1109/tvcg.2024.3456392,Haipeng Zeng,6,M,"Sun Yat-sen University, China"
10.1109/tvcg.2024.3456392,,7,M,
10.1109/tvcg.2024.3456392,,8,M,
10.1109/tvcg.2024.3456392,,9,M,
10.1109/tvcg.2024.3456392,,10,M,
10.1109/tvcg.2024.3456392,,11,M,
10.1109/tvcg.2024.3456392,,12,M,
10.1109/tvcg.2024.3456392,,13,M,
10.1109/tvcg.2024.3456392,,14,M,
10.1109/tvcg.2024.3456392,,15,M,
10.1109/tvcg.2024.3456392,,16,M,
10.1109/tvcg.2024.3456392,,17,M,
10.1109/tvcg.2024.3456392,,18,M,
10.1109/tvcg.2024.3456392,,19,M,
10.1109/tvcg.2024.3456392,,20,M,
10.1109/tvcg.2024.3456392,,21,L,
10.1109/tvcg.2024.3456391,Brian Montambault,1,F,"Tufts University, USA"
10.1109/tvcg.2024.3456391,Gabriel Appleby,2,M,"Tufts University, USA"
10.1109/tvcg.2024.3456391,Jen Rogers,3,M,"Tufts University, USA"
10.1109/tvcg.2024.3456391,Camelia D. Brumar,4,M,"Tufts University, USA"
10.1109/tvcg.2024.3456391,Mingwei Li,5,M,"Tufts University, USA"
10.1109/tvcg.2024.3456391,Remco Chang,6,M,"Tufts University, USA"
10.1109/tvcg.2024.3456391,,7,M,
10.1109/tvcg.2024.3456391,,8,M,
10.1109/tvcg.2024.3456391,,9,M,
10.1109/tvcg.2024.3456391,,10,M,
10.1109/tvcg.2024.3456391,,11,M,
10.1109/tvcg.2024.3456391,,12,M,
