Paper DOI,Author Names
10.1109/mcg.2016.102,Halldor Janetzko
10.1109/mcg.2016.102,Thorsten Breitkreutz
10.1109/mcg.2016.102,Daniel Seebacher
10.1109/mcg.2016.102,Tobias Schreck
10.1109/mcg.2016.102,Michael Grossniklaus
10.1109/mcg.2016.102,Iain D. Couzin
10.1109/mcg.2016.102,Daniel A. Keim
10.1109/tvcg.2017.2723393,Mehmet Adil Yalçin
10.1109/tvcg.2017.2723393,Niklas Elmqvist
10.1109/tvcg.2017.2723393,Benjamin B. Bederson
10.1109/tvcg.2017.2701829,Yunhai Wang
10.1109/tvcg.2017.2701829,Kang Feng
10.1109/tvcg.2017.2701829,Xiaowei Chu
10.1109/tvcg.2017.2701829,Jian Zhang 0070
10.1109/tvcg.2017.2701829,Chi-Wing Fu
10.1109/tvcg.2017.2701829,Michael Sedlmair
10.1109/tvcg.2017.2701829,Xiaohui Yu 0001
10.1109/tvcg.2017.2701829,Baoquan Chen
10.1109/tvcg.2017.2666146,Seokyeon Kim
10.1109/tvcg.2017.2666146,Seongmin Jeong
10.1109/tvcg.2017.2666146,Insoo Woo
10.1109/tvcg.2017.2666146,Yun Jang
10.1109/tvcg.2017.2666146,Ross Maciejewski
10.1109/tvcg.2017.2666146,David S. Ebert
10.1109/tvcg.2015.2511718,Trevor Hogan
10.1109/tvcg.2015.2511718,Uta Hinrichs
10.1109/tvcg.2015.2511718,Eva Hornecker
10.1109/tvcg.2015.2440233,David López
10.1109/tvcg.2015.2440233,Lora Oehlberg
10.1109/tvcg.2015.2440233,Candemir Doger
10.1109/tvcg.2015.2440233,Tobias Isenberg 0001
10.1109/tvcg.2015.2424872,Hua Guo
10.1109/tvcg.2015.2424872,Jeff Huang 0002
10.1109/tvcg.2015.2424872,David H. Laidlaw
10.1109/tvcg.2017.2653106,Yunhai Wang
10.1109/tvcg.2017.2653106,Fubo Han
10.1109/tvcg.2017.2653106,Lifeng Zhu
10.1109/tvcg.2017.2653106,Oliver Deussen
10.1109/tvcg.2017.2653106,Baoquan Chen
10.1109/tvcg.2018.2803829,Jürgen Bernard
10.1109/tvcg.2018.2803829,David Sessler
10.1109/tvcg.2018.2803829,Jörn Kohlhammer
10.1109/tvcg.2018.2803829,Roy A. Ruddle
10.1109/tvcg.2015.2502587,Steve Haroz
10.1109/tvcg.2015.2502587,Robert Kosara
10.1109/tvcg.2015.2502587,Steven L. Franconeri
10.1109/tvcg.2015.2413774,Aritra Dasgupta
10.1109/tvcg.2015.2413774,Jorge Poco
10.1109/tvcg.2015.2413774,Yaxing Wei
10.1109/tvcg.2015.2413774,Robert B. Cook
10.1109/tvcg.2015.2413774,Enrico Bertini
10.1109/tvcg.2015.2413774,Cláudio T. Silva
10.1109/mcg.2016.101,Marcos Lage
10.1109/mcg.2016.101,Jorge Piazentin Ono
10.1109/mcg.2016.101,Daniel Cervone
10.1109/mcg.2016.101,Justin Chiang
10.1109/mcg.2016.101,Carlos A. Dietrich
10.1109/mcg.2016.101,Cláudio T. Silva
10.1109/mcg.2016.124,Antonio G. Losada
10.1109/mcg.2016.124,Roberto Therón
10.1109/mcg.2016.124,Alejandro Benito
10.1109/tvcg.2014.2388208,Samah Gad
10.1109/tvcg.2014.2388208,Waqas Javed
10.1109/tvcg.2014.2388208,Sohaib Ghani
10.1109/tvcg.2014.2388208,Niklas Elmqvist
10.1109/tvcg.2014.2388208,E. Thomas Ewing
10.1109/tvcg.2014.2388208,Keith N. Hampton
10.1109/tvcg.2014.2388208,Naren Ramakrishnan
10.1109/tvcg.2015.2462356,Hans-Jörg Schulz
10.1109/tvcg.2015.2462356,Marco Angelini
10.1109/tvcg.2015.2462356,Giuseppe Santucci
10.1109/tvcg.2015.2462356,Heidrun Schumann
10.1109/tvcg.2016.2515611,Matthew van der Zwan
10.1109/tvcg.2016.2515611,Valeriu Codreanu
10.1109/tvcg.2016.2515611,Alexandru C. Telea
10.1109/tvcg.2017.2711030,Hanfei Lin
10.1109/tvcg.2017.2711030,Siyuan Gao
10.1109/tvcg.2017.2711030,David Gotz
10.1109/tvcg.2017.2711030,Fan Du
10.1109/tvcg.2017.2711030,Jingrui He
10.1109/tvcg.2017.2711030,Nan Cao 0001
10.1109/tvcg.2017.2785271,Markus Wagner 0008
10.1109/tvcg.2017.2785271,Djordje Slijepcevic
10.1109/tvcg.2017.2785271,Brian Horsak
10.1109/tvcg.2017.2785271,Alexander Rind
10.1109/tvcg.2017.2785271,Matthias Zeppelzauer
10.1109/tvcg.2017.2785271,Wolfgang Aigner
10.1109/tvcg.2016.2642109,Sabrina Nusrat
10.1109/tvcg.2016.2642109,Md. Jawaherul Alam
10.1109/tvcg.2016.2642109,Stephen G. Kobourov
10.1109/tvcg.2014.2325043,Jennifer Chandler
10.1109/tvcg.2014.2325043,Harald Obermaier
10.1109/tvcg.2014.2325043,Kenneth I. Joy
10.1109/tvcg.2017.2680452,Bahador Saket
10.1109/tvcg.2017.2680452,Arjun Srinivasan
10.1109/tvcg.2017.2680452,Eric D. Ragan
10.1109/tvcg.2017.2680452,Alex Endert
10.1109/tvcg.2016.2520920,Thomas Ortner
10.1109/tvcg.2016.2520920,Johannes Sorger
10.1109/tvcg.2016.2520920,Harald Steinlechner
10.1109/tvcg.2016.2520920,Gerd Hesina
10.1109/tvcg.2016.2520920,Harald Piringer
10.1109/tvcg.2016.2520920,M. Eduard Gröller
10.1109/tvcg.2015.2507595,Corinna Vehlow
10.1109/tvcg.2015.2507595,Fabian Beck 0001
10.1109/tvcg.2015.2507595,Daniel Weiskopf
10.1109/tvcg.2018.2817557,G. Elisabeta Marai
10.1109/tvcg.2018.2817557,Chihua Ma
10.1109/tvcg.2018.2817557,Andrew Thomas Burks
10.1109/tvcg.2018.2817557,Filippo Pellolio
10.1109/tvcg.2018.2817557,Guadalupe Canahuate
10.1109/tvcg.2018.2817557,David M. Vock
10.1109/tvcg.2018.2817557,Abdallah Sherif Radwan Mohamed
10.1109/tvcg.2018.2817557,Clifton David Fuller
10.1109/tvcg.2014.2337337,Sriram Karthik Badam
10.1109/tvcg.2014.2337337,Eli Raymond Fisher
10.1109/tvcg.2014.2337337,Niklas Elmqvist
10.1109/tvcg.2014.2371858,Amy L. Griffin
10.1109/tvcg.2014.2371858,Anthony C. Robinson
10.1109/tvcg.2016.2637333,Elham Sakhaee
10.1109/tvcg.2016.2637333,Alireza Entezari
10.1109/tvcg.2016.2570215,Pavol Klacansky
10.1109/tvcg.2016.2570215,Julien Tierny
10.1109/tvcg.2016.2570215,Hamish A. Carr
10.1109/tvcg.2016.2570215,Zhao Geng
10.1109/tvcg.2018.2811488,Carolina Nobre
10.1109/tvcg.2018.2811488,Nils Gehlenborg
10.1109/tvcg.2018.2811488,Hilary Coon
10.1109/tvcg.2018.2811488,Alexander Lex
