Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
1991,10.1109/VISUAL.1991.175804,Thomas A. Foley,"Arizona State University, Tempe, AZ, USA",USA
1991,10.1109/VISUAL.1991.175804,David A. Lane,"Arizona State University, Tempe, AZ, USA",USA
1991,10.1109/VISUAL.1991.175805,Roni Yagel,"Stony Brook University, USA",USA
1991,10.1109/VISUAL.1991.175805,Arie E. Kaufman,"Stony Brook University, USA",USA
1991,10.1109/VISUAL.1991.175805,Qiang Zhang,"Stony Brook University, USA",USA
1991,10.1109/VISUAL.1991.175806,Renben Shu,"National University of Singapore, Singapore",Singapore
1991,10.1109/VISUAL.1991.175806,Alan Liu,"National University of Singapore, Singapore",Singapore
1991,10.1109/VISUAL.1991.175807,T. Todd Elvins,"San Diego Supercomputing Center, CA, USA",USA
1991,10.1109/VISUAL.1991.175807,David R. Nadeau,"San Diego Supercomputing Center, CA, USA",USA
1991,10.1109/VISUAL.1991.175809,Stuart Smith,"University of Massachusetts Lowell, USA",USA
1991,10.1109/VISUAL.1991.175809,Georges G. Grinstein,"University of Massachusetts Lowell, USA",USA
1991,10.1109/VISUAL.1991.175809,R. Daniel Bergeron,,
1991,10.1109/VISUAL.1991.175810,Allan Tuchman,"University of Illinois, Urbana-Champaign, USA",USA
1991,10.1109/VISUAL.1991.175810,David Jablonowski,"University of Illinois, Urbana-Champaign, USA",USA
1991,10.1109/VISUAL.1991.175810,George Cybenko,"University of Illinois, Urbana-Champaign, USA",USA
1991,10.1109/VISUAL.1991.175811,Roger Crawfis,"Lawrence Livermore National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175811,M. J. Allison,"Lawrence Livermore National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175812,Ulrich Lang,"University of Stuttgart, Germany",Germany
1991,10.1109/VISUAL.1991.175812,Ruth E. Lang,"University of Stuttgart, Germany",Germany
1991,10.1109/VISUAL.1991.175812,Roland Rühle,"University of Stuttgart, Germany",Germany
1991,10.1109/VISUAL.1991.175814,David R. Nadeau,"San Diego Supercomputing Center, CA, USA",USA
1991,10.1109/VISUAL.1991.175814,T. Todd Elvins,"San Diego Supercomputing Center, CA, USA",USA
1991,10.1109/VISUAL.1991.175814,Michael J. Bailey,"San Diego Supercomputing Center, CA, USA",USA
1991,10.1109/VISUAL.1991.175815,Brian Johnson,"University of Maryland, College Park, USA",USA
1991,10.1109/VISUAL.1991.175815,Ben Shneiderman,"University of Maryland, College Park, USA",USA
1991,10.1109/VISUAL.1991.175816,Eric Grosse,"AT&T Labs, USA",USA
1991,10.1109/VISUAL.1991.175818,Robert B. Haber,"University of Illinois, Urbana-Champaign, USA",USA
1991,10.1109/VISUAL.1991.175818,Bruce Lucas,,
1991,10.1109/VISUAL.1991.175818,Nancy S. Collins,,
1991,10.1109/VISUAL.1991.175819,Sandeep Kochhar,"Harvard University,USA",USA
1991,10.1109/VISUAL.1991.175819,Mark Friedell,"Harvard University,USA",USA
1991,10.1109/VISUAL.1991.175819,Mark Vincent LaPolla,,
1991,10.1109/VISUAL.1991.175820,William C. Hill,,
1991,10.1109/VISUAL.1991.175820,James D. Hollan,,
1991,10.1109/VISUAL.1991.175821,Andrew J. Hanson,"University of Indiana, Bloomington, USA",USA
1991,10.1109/VISUAL.1991.175821,Pheng-Ann Heng,"University of Indiana, Bloomington, USA",USA
1991,10.1109/VISUAL.1991.175823,Richard S. Gallagher,,
1991,10.1109/VISUAL.1991.175823,Robert B. Haber,,
1991,10.1109/VISUAL.1991.175823,Gordon Ferguson,,
1991,10.1109/VISUAL.1991.175823,David Parker,,
1991,10.1109/VISUAL.1991.175823,Douglas W. Stillman,,
1991,10.1109/VISUAL.1991.175823,James Winget,,
1991,10.1109/VISUAL.1991.175824,Haim Levkowitz,"University of Massachusetts Lowell, USA",USA
1991,10.1109/VISUAL.1991.175824,Richard A. Holub,,
1991,10.1109/VISUAL.1991.175824,Gary W. Meyer,,
1991,10.1109/VISUAL.1991.175824,Philip K. Robertson,,
1991,10.1109/VISUAL.1991.175825,Guru M. Parulkar,"Washington University, St. Louis, USA",USA
1991,10.1109/VISUAL.1991.175825,Jack Bowie,,
1991,10.1109/VISUAL.1991.175825,Hans-Werner Braun,,
1991,10.1109/VISUAL.1991.175825,Roch Guerin,,
1991,10.1109/VISUAL.1991.175825,Daniel Stevenson,,
1991,10.1109/VISUAL.1991.175826,D. Prawel,,
1991,10.1109/VISUAL.1991.175826,M. Brown,,
1991,10.1109/VISUAL.1991.175826,C. Harris,,
1991,10.1109/VISUAL.1991.175826,R. Kriz,,
1991,10.1109/VISUAL.1991.175826,M. Vigil,,
1991,10.1109/VISUAL.1991.175827,Meera M. Blattner,,
1991,10.1109/VISUAL.1991.175827,Georges Grinstein,,
1991,10.1109/VISUAL.1991.175827,Ephraim P. Glinert,,
1991,10.1109/VISUAL.1991.175827,William Hill,,
1991,10.1109/VISUAL.1991.175827,Creon Levit,,
1991,10.1109/VISUAL.1991.175827,Stuart Smith,,
1991,10.1109/VISUAL.1991.175828,Vincent Argiro,,
1991,10.1109/VISUAL.1991.175828,Mary Whitton,,
1991,10.1109/VISUAL.1991.175828,Alan Evans,,
1991,10.1109/VISUAL.1991.175828,Wulf Massell,,
1991,10.1109/VISUAL.1991.175828,Stephen Paddock,,
1991,10.1109/VISUAL.1991.175828,Elliot Fishman,,
1991,10.1109/VISUAL.1991.175830,Duncan Stevenson,"CSIRO, Australia",Australia
1991,10.1109/VISUAL.1991.175831,Neal E. Hurlburt,"Lockheed Palo Alto Research Laboratory, CA, USA",USA
1991,10.1109/VISUAL.1991.175831,Lola W. Anacker,,
1991,10.1109/VISUAL.1991.175831,Raoul Kopelman,,
1991,10.1109/VISUAL.1991.175832,Quentin E. Dolecek,"Johns Hopkins University, USA",USA
